Start: Mon Sep  8 21:17:46 2014
HOST: kontrust                    Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 192.168.1.1                0.0%    20    0.4   0.4   0.4   0.6   0.0
  2.|-- 197.245.35.1               0.0%    20  2109. 2444. 1566. 3155. 483.5
  3.|-- 196.41.29.166              0.0%    20  2220. 2481. 1550. 3146. 436.9
  4.|-- 196.41.29.233              0.0%    20  2365. 2482. 1468. 3226. 436.7
  5.|-- 41.193.119.18              5.0%    20  2430. 2469. 1472. 3255. 431.1
  6.|-- 196.46.25.166              0.0%    20  2400. 2511. 1481. 3277. 426.6
  7.|-- 66.249.95.8               10.0%    20  2427. 2667. 1885. 3256. 418.2
  8.|-- 209.85.244.240             5.0%    20  2549. 2688. 1741. 3237. 448.7
  9.|-- 72.14.242.166              5.0%    20  2469. 2670. 1640. 3226. 478.9
 10.|-- 216.239.47.87             10.0%    20  2396. 2624. 1611. 3342. 526.3
 11.|-- ???                       100.0    20    0.0   0.0   0.0   0.0   0.0
 12.|-- 8.8.8.8                   15.0%    20  2312. 2646. 1595. 3451. 517.4
Start: Mon Sep  8 21:30:01 2014
HOST: kontrust                    Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 192.168.1.1                0.0%    20    0.4   0.5   0.4   0.7   0.0
  2.|-- 197.245.35.1               0.0%    20   15.3 1704.  15.3 3190. 875.2
  3.|-- 196.41.29.166              0.0%    20   84.5 1737.  84.5 3197. 884.5
  4.|-- 196.41.29.233              0.0%    20   41.7 1724.  41.7 3164. 889.4
  5.|-- 41.193.119.18              0.0%    20  295.3 1732.  67.0 3132. 889.2
  6.|-- 196.46.25.166              0.0%    20  390.5 1716.  78.6 2921. 882.8
  7.|-- 66.249.95.8                0.0%    20  602.6 1845. 224.9 2976. 845.9
  8.|-- 209.85.244.240             0.0%    20  696.3 1846. 244.9 2931. 825.6
  9.|-- 72.14.242.166              0.0%    20  755.2 1873. 247.5 2950. 842.7
 10.|-- 216.239.47.87              0.0%    20  803.2 1863. 199.1 3143. 853.4
 11.|-- ???                       100.0    20    0.0   0.0   0.0   0.0   0.0
 12.|-- 8.8.8.8                    5.0%    20  200.8 1900. 200.8 3411. 890.1
Start: Mon Sep  8 22:00:01 2014
HOST: kontrust                    Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 192.168.1.1                0.0%    20    0.5   0.5   0.4   0.7   0.0
  2.|-- 197.245.35.1               5.0%    20  1982. 1731. 1075. 2616. 420.2
  3.|-- 196.41.29.166              5.0%    20  2044. 1867. 1305. 2722. 431.5
  4.|-- 196.41.29.233              0.0%    20  2042. 1916. 1302. 2762. 428.1
  5.|-- 41.193.119.18              0.0%    20  2032. 1935. 1333. 2721. 434.0
  6.|-- 196.46.25.166              0.0%    20  2008. 1939. 1323. 2888. 444.3
  7.|-- 66.249.95.8                5.0%    20  2260. 2079. 1430. 3122. 472.2
  8.|-- 209.85.244.240             5.0%    20  2293. 2054. 1401. 3175. 485.4
  9.|-- 72.14.232.134             10.0%    20  2367. 2008. 1453. 3175. 447.0
 10.|-- 216.239.47.87             10.0%    20  2383. 2005. 1339. 3219. 462.7
 11.|-- ???                       100.0    20    0.0   0.0   0.0   0.0   0.0
 12.|-- 8.8.8.8                   10.0%    20  2248. 2023. 1448. 3036. 405.8
Start: Mon Sep  8 22:30:01 2014
HOST: kontrust                    Loss%   Snt   Last   Avg  Best  Wrst StDev
